ID,Product,End_of_Sale,End_of_Support,Recommended_Successor_Product,Notification
1,910 Appliance,Aug 2021,Aug 2026,1600,February 2021
2,1200R Appliance,Dec 2020,Dec 2025,1570R,July 2020
3,730 Appliance,May 2020,Oct 2024,1535,October 2019
4,750 Appliance,May 2020,Oct 2024,1550,October 2019
5,770 Appliance,May 2020,Oct 2024,1570,October 2019
6,790 Appliance,May 2020,Oct 2024,1590,October 2019
7,1430 Appliance,May 2020,Oct 2024,1535,October 2019
8,1450 Appliance,May 2020,Oct 2024,1550,October 2019
9,1470 Appliance,May 2020,Oct 2024,1570,October 2019
10,1490 Appliance,May 2020,Oct 2024,1590,October 2019
11,3100 Appliance,Dec 2020,Dec 2025,3600,July 2020
12,3200 Appliance,Dec 2020,Dec 2025,3800,July 2020
13,5100 Appliance,Dec 2020,Dec 2025,6200,July 2020
14,5200 Appliance,Dec 2020,Dec 2025,6200,July 2020
15,5400 Appliance,Dec 2020,Dec 2025,6400,July 2020
16,5600 Appliance,Dec 2020,Dec 2025,6600,July 2020
17,5800 Appliance,Sept 2020,Sept 2025,6700,July 2020
18,5900 Appliance,Dec 2020,Dec 2025,7000,July 2020
19,6500 Appliance,Dec 2020,Dec 2025,6600,July 2020
20,6800 Appliance,Dec 2020,Dec 2025,7000,July 2020
21,15400 Appliance,Dec 2020,Dec 2025,7000,July 2020
22,15600 Appliance,Dec 2020,Dec 2025,16200,July 2020
23,16000 Appliance,Mar 2022,Mar 2027,16200,Jan 2022
24,23500 Appliance,Dec 2020,Dec 2025,16200,July 2020
25,23800 Appliance,Dec 2020,Dec 2025,26000,July 2020
26,23900 Appliance,Dec 2020,Dec 2025,28000,July 2020
27,Capsule Docs,Sept 2023,Dec 2024,Harmony Endpoint,Sept 2023
28,Capsule Workspace,Sept 2023,Dec 2024,Harmony Mobile + MDM/UEM,Aug 2023
29,TE100X,Apr 2022,Apr 2027,TE250XN,Apr 2022
30,TE250X,Apr 2022,Apr 2027,TE250XN,Apr 2022
31,TE1000X,Apr 2022,Apr 2027,TE2000XN-28VM,Apr 2022
32,TE2000X,Apr 2022,Apr 2027,TE2000XN-56VM,Apr 2022
